Model,Starting Price,Year
"Nissan Maxima              ","$38,340",2023
"Mitsubishi Eclipse Cross              ",Priceunavailable,2024
"Mitsubishi Outlander Sport              ","$23,695",2024
"Mitsubishi Mirage              ","$16,695",2024
"Mitsubishi Outlander              ","$28,395",2024
"MINI SE Countryman              ","$41,500",2023
"Mitsubishi Mirage G4              ","$17,795",2024
"MINI SE Hardtop              ","$30,900",2024
"MINI Countryman              ","$32,650",2024
"MINI Clubman              ","$34,050",2024
"MINI Hardtop              ","$25,800",2024
"MINI Convertible              ","$35,700",2024
"Ferrari Roma              ","$243,360",2023
"Ferrari SF90 Spider              ","$575,445",2023
"Ferrari SF90 Stradale              ","$524,815",2023
"Ferrari Portofino M              ","$246,102",2023
"Buick Envision              ",Priceunavailable,2024
"Buick Envista              ","$22,400",2024
"Bentley Bentayga EWB              ","$226,900",2023
"Buick Encore GX              ","$25,600",2024
"Dodge Hornet              ","$30,735",2024
"Dodge Durango              ","$40,920",2024
"Aston Martin DBX              ","$200,086",2024
"Bentley Continental GT              ","$235,600",2023
"Chevrolet Express 3500              ","$43,800",2024
"Aston Martin Vantage              ","$143,900",2023
"Aston Martin DBS              ","$330,600",2023
"Audi SQ5 Sportback              ","$60,400",2024
"Aston Martin DB12              ","$245,000",2024
"Audi SQ7              ","$90,400",2024
"Audi SQ8              ","$96,600",2024
"Audi Q8 e-tron Sportback              ","$77,800",2024
"Audi Q8 e-tron              ","$74,400",2024
"Audi SQ5              ","$57,000",2024
"Audi RS Q8              ","$125,800",2024
"Audi Q8              ","$73,700",2024
"Audi e-tron S Sportback              ","$90,800",2023
"Audi Q4 e-tron              ","$49,800",2024
"Audi Q5 Sportback              ","$51,500",2024
"Audi Q5              ","$44,600",2024
"Audi Q7              ","$59,500",2024
"Audi e-tron Sportback              ","$74,000",2023
"Audi e-tron              ","$70,800",2023
"Audi TTS              ","$61,900",2023
"Audi S7              ","$84,500",2024
"Audi S8              ","$120,600",2024
"Audi S5              ","$56,800",2024
"Audi S6              ","$74,700",2024
"Audi TT              ","$52,200",2023
"Audi S4              ","$53,800",2024
"Audi S3              ","$47,000",2024
"Audi RS 7              ","$127,800",2024
"Audi RS 6 Avant              ","$125,800",2024
"Audi RS e-tron GT              ","$147,100",2024
"Audi RS 3              ","$61,700",2024
"Audi RS 5              ","$78,600",2024
"Audi R8              ","$158,600",2023
"Audi e-tron GT              ","$106,500",2024
"Bentley Bentayga Hybrid              ",Priceunavailable,2023
"Audi e-tron S              ","$88,200",2023
"Audi A6 allroad              ","$68,500",2024
"Audi A7              ","$71,200",2024
"Audi A6              ","$57,300",2024
"Audi A8              ","$88,900",2024
"Audi A4 allroad              ","$46,900",2024
"Audi A3              ","$35,400",2024
"Audi A4              ","$41,200",2024
"Audi A5              ","$47,700",2024
"BMW XM              ","$159,000",2024
"BMW X6 M              ","$127,200",2024
"BMW X7              ","$108,700",2024
"BMW X4 M              ","$79,100",2024
"BMW X6              ","$73,900",2024
"BMW X5 M              ","$122,300",2024
"BMW X5 PHEV              ","$72,500",2024
"BMW X5              ","$65,200",2024
"BMW X3              ","$46,900",2024
"BMW X4              ","$55,000",2024
"BMW X3 M              ","$75,500",2024
"BMW X2              ","$42,000",2024
"BMW M8 Gran Coupe              ","$138,800",2024
"BMW ALPINA XB7              ","$149,400",2024
"BMW X1              ","$40,500",2024
"BMW iX              ","$111,500",2024
"BMW Z4              ","$53,600",2024
"BMW M8              ","$138,800",2024
"BMW M850              ","$106,300",2024
"BMW M850 Gran Coupe              ","$106,300",2024
"BMW M550              ","$81,500",2023
"BMW M440 Gran Coupe              ","$61,050",2024
"BMW M240              ","$49,700",2024
"BMW M3              ","$118,700",2024
"BMW M5              ","$109,900",2023
"BMW M340              ","$57,600",2024
"BMW M4              ","$78,100",2024
"BMW M440              ","$61,450",2024
"BMW ALPINA B8 Gran Coupe              ","$149,300",2024
"BMW i4 Gran Coupe              ","$52,200",2024
"BMW M235 Gran Coupe              ","$48,300",2024
"BMW M2              ","$63,200",2024
"BMW i7              ","$105,700",2024
"BMW 840              ","$100,500",2024
"BMW 840 Gran Coupe              ","$90,800",2024
"BMW 760              ","$121,300",2024
"BMW 750e              ","$107,000",2024
"BMW 740              ","$96,400",2024
"BMW 530e              ","$57,600",2023
"BMW 530              ","$57,900",2024
"BMW 430              ","$49,900",2024
"BMW 430 Gran Coupe              ","$48,300",2024
"BMW 540              ","$64,900",2024
"BMW 330e              ","$45,600",2024
"BMW 330              ","$44,500",2024
"BMW 230              ","$38,800",2024
"Chevrolet Express 2500              ","$40,700",2024
"BMW 228 Gran Coupe              ","$38,400",2024
"Aston Martin DB11              ","$217,000",2023
"Chevrolet Silverado EV              ",Priceunavailable,2024
"Chevrolet Silverado 3500              ","$44,700",2024
"Chevrolet Silverado 2500              ","$44,400",2024
"Chevrolet Colorado              ","$29,500",2024
"Chevrolet Silverado 1500              ","$36,800",2024
"Chevrolet Trailblazer              ","$23,100",2024
"Chevrolet Trax              ","$20,400",2024
"FIAT 500X              ","$29,845",2023
"Chevrolet Tahoe              ","$56,200",2024
"Chevrolet Blazer EV              ","$51,800",2024
"Chevrolet Equinox              ","$26,600",2024
"Chevrolet Corvette E-Ray              ","$104,900",2024
"Chevrolet Bolt EV              ","$26,500",2023
"Chevrolet Suburban              ","$59,200",2024
"Chevrolet Blazer              ","$35,400",2024
"Chevrolet Malibu              ","$25,100",2024
"Chevrolet Bolt EUV              ","$27,800",2023
"Chevrolet Camaro              ","$30,900",2024
"Bentley Flying Spur Hybrid              ","$214,800",2023
"Chevrolet Corvette              ","$110,100",2024
"Bentley Bentayga              ","$197,300",2023
"Bentley Flying Spur              ",Priceunavailable,2023
"Cadillac XT5              ","$43,895",2024
"Cadillac Escalade ESV              ","$102,195",2024
"Cadillac XT6              ","$48,795",2024
"Cadillac XT4              ","$37,895",2024
"Cadillac LYRIQ              ","$57,195",2024
"Cadillac Escalade              ","$110,695",2024
"Cadillac CT5              ","$38,395",2024
"Cadillac CT4-V              ","$47,095",2024
"Cadillac CT5-V              ","$51,495",2024
"Chrysler Pacifica Hybrid              ","$52,495",2024
"Chrysler Voyager              ","$36,560",2024
"Cadillac CT4              ","$34,595",2024
"Chrysler Pacifica              ","$38,425",2024
"Buick Enclave              ","$43,900",2024
"Chrysler 300              ","$35,515",2023
"Ferrari F8 Tributo              ","$280,000",2023
"Dodge Charger              ","$34,730",2023
"Ferrari F8 Spider              ","$324,342",2023
"Dodge Challenger              ","$32,465",2023
"Ferrari 812 Competizione              ","$598,513",2023
"Ferrari 812 GTS              ","$429,815",2023
"Ferrari 296 GTS              ","$367,189",2023
"Ferrari 296 GTB              ","$338,255",2023
"Alfa Romeo Tonale              ","$42,995",2024
"Alfa Romeo Stelvio              ","$45,375",2024
"Alfa Romeo Giulia              ","$43,075",2024
Model,Starting Price,Year
"Jaguar I-PACE              ","$72,000",2024
"Volkswagen Jetta              ","$20,655",2023
"Jeep Compass              ","$28,400",2024
