Model,Starting Price,Year
"Nissan Murano              ","$37,920",2024
"Nissan Versa              ","$16,130",2024
"Nissan Leaf              ","$28,140",2024
"Nissan Z              ","$42,210",2024
"Nissan GT-R              ","$120,990",2024
"Nissan Altima              ","$25,730",2024
"Mercedes-Benz Sprinter 2500              ","$49,900",2024
"Mercedes-Benz GLS 580              ","$112,000",2024
"Mercedes-Benz Maybach GLS 600              ","$170,000",2023
"Mercedes-Benz GLE 580              ","$86,700",2024
"Mercedes-Benz GLE 450 Plug-In Hybrid              ","$69,500",2024
"Mercedes-Benz GLE 450              ","$69,500",2024
"Mercedes-Benz GLE 350              ","$62,650",2024
"Mercedes-Benz GLB 250              ","$44,450",2024
"Mercedes-Benz G-Class              ",Priceunavailable,2024
"Mercedes-Benz GLC 300              ",Priceunavailable,2024
"Mercedes-Benz EQB 300              ","$56,900",2023
"Mercedes-Benz EQB 350              ","$60,550",2023
"Mercedes-Benz AMG GLC 43              ",Priceunavailable,2024
"Mercedes-Benz AMG GLB 35              ","$51,500",2023
"Mercedes-Benz AMG GLE 53              ","$86,750",2024
"Mercedes-Benz EQE 350              ","$77,900",2024
"Mercedes-Benz EQS 450+              ","$104,400",2023
"Mercedes-Benz CLA 250              ","$43,700",2024
"Mercedes-Benz EQE 500              ","$85,900",2024
"Mercedes-Benz AMG G 63              ",Priceunavailable,2024
Model,Starting Price,Year
"Cadillac CT4              ","$34,595",2024
"Cadillac LYRIQ              ","$57,195",2024
"Cadillac XT5              ","$43,895",2024
"Cadillac XT4              ","$37,895",2024
"Cadillac CT5-V              ","$51,495",2024
"FIAT 500X              ","$29,845",2023
"Cadillac Escalade              ","$110,695",2024
"Cadillac CT5              ","$38,395",2024
"Cadillac Escalade ESV              ","$102,195",2024
"Ferrari SF90 Stradale              ","$524,815",2023
"Ferrari 296 GTB              ","$338,255",2023
"Ferrari Roma              ","$243,360",2023
"Chrysler Voyager              ","$36,560",2024
"Dodge Challenger              ","$32,465",2023
"Chrysler Pacifica Hybrid              ","$52,495",2024
"Chrysler Pacifica              ","$38,425",2024
"Chrysler 300              ","$35,515",2023
"Chevrolet Silverado EV              ",Priceunavailable,2024
"Chevrolet Express 3500              ","$43,800",2024
"Chevrolet Silverado 3500              ","$44,700",2024
"Chevrolet Express 2500              ","$40,700",2024
"Chevrolet Trailblazer              ","$23,100",2024
"Chevrolet Trax              ","$20,400",2024
"Chevrolet Colorado              ","$29,500",2024
"Chevrolet Tahoe              ","$56,200",2024
"Chevrolet Bolt EUV              ","$27,800",2023
"Chevrolet Silverado 2500              ","$44,400",2024
"Chevrolet Blazer EV              ","$51,800",2024
"Chevrolet Equinox              ","$26,600",2024
"Chevrolet Suburban              ","$59,200",2024
"Chevrolet Silverado 1500              ","$36,800",2024
"Ferrari Portofino M              ","$246,102",2023
"Ferrari F8 Tributo              ","$280,000",2023
"Ferrari SF90 Spider              ","$575,445",2023
"Chevrolet Blazer              ","$35,400",2024
"Cadillac CT4-V              ","$47,095",2024
"Chevrolet Corvette E-Ray              ","$104,900",2024
"Cadillac XT6              ","$48,795",2024
"Chevrolet Bolt EV              ","$26,500",2023
"Chevrolet Malibu              ","$25,100",2024
"Chevrolet Corvette              ","$110,100",2024
"Chevrolet Camaro              ","$30,900",2024
"Ferrari 812 GTS              ","$429,815",2023
"Ferrari F8 Spider              ","$324,342",2023
"Dodge Hornet              ","$30,735",2024
"Ferrari 296 GTS              ","$367,189",2023
"Dodge Charger              ","$34,730",2023
"Dodge Durango              ","$40,920",2024
"Ferrari 812 Competizione              ","$598,513",2023
Model,Starting Price,Year
"Lincoln Nautilus              ","$50,415",2024
"Lincoln Navigator              ","$110,750",2024
"Lincoln Aviator              ","$53,340",2024
"Lincoln Navigator L              ","$113,795",2024
"Land Rover Range Rover Velar              ","$61,500",2024
"Kia Forte              ","$19,790",2024
"Kia Telluride              ","$35,990",2024
"Land Rover Range Rover Sport              ","$118,200",2024
"Jeep Cherokee              ","$37,695",2023
"Hyundai Santa Cruz              ","$26,650",2024
"Hyundai Santa Fe Plug-In Hybrid              ","$42,410",2023
"Hyundai Venue              ","$19,800",2024
"Hyundai Tucson Plug-In Hybrid              ","$38,475",2024
"Hyundai Tucson Hybrid              ","$32,325",2024
"Lexus UX 250h              ","$35,540",2024
"Volkswagen Tiguan              ","$28,505",2024
"Toyota Tundra Hybrid              ","$57,625",2024
"Toyota Sienna              ","$37,185",2024
"Toyota Tundra              ","$39,965",2024
"Hyundai Tucson              ","$27,250",2024
"Toyota RAV4 Prime              ","$43,440",2024
"Toyota Sequoia              ","$60,875",2024
"Toyota Venza              ","$34,920",2024
"Toyota RAV4 Hybrid              ","$31,475",2024
"Toyota Tacoma              ",Priceunavailable,2024
"Toyota Grand Highlander Hybrid              ","$44,670",2024
"Toyota Highlander Hybrid              ","$40,720",2024
"Toyota Grand Highlander              ","$43,070",2024
"Toyota RAV4              ","$28,475",2024
"Toyota bZ4X              ",Priceunavailable,2024
"Toyota Prius Prime              ","$32,675",2024
"Toyota Corolla Cross              ","$23,610",2024
"Toyota Highlander              ","$39,120",2024
"Toyota Mirai              ",Priceunavailable,2024
"Toyota 4Runner              ","$40,455",2024
"Toyota GR Supra              ","$45,540",2024
"Toyota Prius              ","$27,650",2024
"Toyota GR Corolla              ","$36,100",2024
"Jaguar I-PACE              ","$72,000",2024
"Toyota GR86              ","$28,400",2023
"Toyota Crown              ","$40,050",2024
"Toyota Corolla Hybrid              ","$23,300",2024
"Kia Carnival              ","$33,200",2024
"Toyota Corolla Hatchback              ","$23,355",2024
"Toyota Camry Hybrid              ","$28,855",2024
